(50, 20, 1, 1, 1, "绿头怪")1
(70, 15, 2, 2, 2, "红头怪")2
(100, 20, 5, 3, 3, "小蝙蝠")3
(110, 25, 5, 5, 4, "骷髅人")4
(200, 35, 10, 5, 5, "青头怪")5
(150, 40, 20, 8, 6, "骷髅士兵")6
(125, 50, 25, 10, 7, "初级法师")7
(150, 65, 30, 10, 8, "大蝙蝠")8
(300, 75, 45, 13, 10, "兽面人")9
(400, 90, 50, 15, 12, "骷髅队长")10
(500, 115, 65, 15, 15, "石头怪人")11
(250, 120, 70, 20, 17, "麻衣法师")12
(450, 150, 90, 22, 19, "初级卫兵")13
(550, 160, 90, 25, 20, "红蝙蝠")14
(100, 200, 110, 30, 25, "高级法师")15
(700, 250, 125, 32, 30, "怪王")16
(1300, 300, 150, 40, 35, "白衣武士")17
(850, 350, 200, 45, 40, "金卫士")18
(500, 400, 260, 47, 45, "红衣法师")19
(900, 450, 330, 50, 50, "兽面武士")20
(1250, 500, 400, 55, 55, "冥卫兵")21
(1500, 560, 460, 60, 60, "高级卫兵")22
(1200, 620, 520, 65, 75, "双手剑士")23
(2000, 680, 590, 70, 65, "冥战士")24
(900, 750, 650, 77, 70, "金队长")25
(1500, 830, 730, 80, 70, "灵法师")26
(2500, 900, 850, 84, 75, "冥队长")27
(1200, 980, 900, 88, 75, "灵武士")28
(3100, 1150, 1050, 92, 80, "影子战士")29
(15000, 1000, 1000, 100, 100, "红衣魔王")30
(20000, 1333, 1333, 133, 133, "红衣魔王")31
(45000, 2550, 2250, 312, 275, "冥灵魔王")32
(3333, 1200, 1133, 112, 100, "冥队长")33
(1600, 1306, 1200, 117, 100, "灵武士")34
(2400, 2612, 2400, 146, 125, "灵武士")35
(30000, 1700, 1500, 250, 220, "冥灵魔王")36
(2000, 1106, 973, 106, 93, "灵法师")37
(30000, 2666, 2666, 166, 166, "红衣魔王")38
(3000, 2212, 1946, 132, 116, "灵法师")39
(60000, 3400, 3000, 390, 343, "冥灵魔王")40
(99999, 5000, 4000, 0, 0, "血影")41
(99999, 9999, 5000, 0, 0, "魔龙")42
